,Open,High,Low,Close,Volume
2025-05-27,1469.9969192569179,1476.1314611326136,1460.2016534397667,1464.8519287109375,881728
2025-05-28,1469.3043638079353,1470.293794355954,1449.515752847559,1452.978759765625,1090511
2025-05-29,1459.4100968156667,1463.862534399172,1447.5369299263189,1461.2900390625,1384536
2025-05-30,1460.3994345305168,1473.262031176111,1441.6991737128274,1450.208251953125,7040777
2025-06-02,1452.4840676732197,1459.2122438191675,1442.5897620351186,1454.6607666015625,962897
2025-06-03,1456.837556353598,1463.7635701578515,1444.9643898320203,1457.6290283203125,870331
2025-06-04,1457.6290827943265,1472.2727036969002,1450.4063120251637,1456.3428955078125,1297075
2025-06-05,1460.3995207646526,1482.9585860641137,1459.410090195029,1474.0537109375,1570159
2025-06-06,1474.0536882424224,1489.9834960120838,1468.314942714921,1488.3013916015625,861882
2025-06-09,1495.722096981777,1495.722096981777,1481.1775163754985,1490.676025390625,689631
2025-06-10,1492.9517229112535,1497.206201642514,1489.092919760507,1494.8316650390625,929786
2025-06-11,1496.5137421158074,1511.7509971006427,1493.4465314945983,1505.616455078125,1046396
2025-06-12,1510.8604304562334,1521.645247468816,1478.7039379940018,1486.916259765625,1199034
2025-06-13,1464.357170674123,1494.5348015562586,1464.357170674123,1489.290771484375,874315
2025-06-16,1486.0257905929031,1524.7125015508607,1483.9480105612156,1510.8604736328125,2679763
2025-06-17,1510.8605055001872,1517.1928854094497,1479.693442027197,1487.60888671875,1334810
2025-06-18,1487.6088182174117,1496.90948945773,1480.089170262721,1482.265869140625,1075494
2025-06-19,1486.5204877468213,1493.8422979988018,1464.5550569908798,1468.31494140625,1124204
2025-06-20,1468.3149871613316,1492.2591589903318,1465.4456143107238,1483.8489990234375,1917041
2025-06-23,1483.8488831716736,1488.993994276599,1466.4349304028979,1483.2552490234375,657381
2025-06-24,1490.7749867819562,1502.2524779816574,1484.34368809734,1486.5205078125,1351552
2025-06-25,1493.9412422318037,1501.9556056951055,1484.1458554299463,1494.0401611328125,1032762
2025-06-26,1495.029594913334,1506.3091275948416,1487.1141503340443,1497.800048828125,1440423
2025-06-27,1502.0,1508.699951171875,1492.0,1502.4000244140625,1851991
2025-06-30,1509.4000244140625,1514.699951171875,1500.199951171875,1505.9000244140625,1053681
2025-07-01,1505.9000244140625,1517.699951171875,1496.199951171875,1515.699951171875,1112637
2025-07-02,1515.699951171875,1525.0,1493.300048828125,1497.5999755859375,1273704
2025-07-03,1504.0,1513.199951171875,1498.800048828125,1508.699951171875,869963
2025-07-04,1508.4000244140625,1521.0,1503.9000244140625,1513.300048828125,1118483
2025-07-07,1516.0,1519.199951171875,1506.5,1510.5,1061434
2025-07-08,1505.5,1510.5,1477.0999755859375,1488.300048828125,2197699
2025-07-09,1486.0,1501.699951171875,1486.0,1491.699951171875,1364142
2025-07-10,1489.0,1490.9000244140625,1463.199951171875,1477.800048828125,2178068
2025-07-11,1480.0,1490.5,1470.0,1485.0,920651
2025-07-14,1488.9000244140625,1492.5,1476.0,1484.0,1554680
2025-07-15,1483.800048828125,1492.4000244140625,1469.4000244140625,1490.9000244140625,1203850
2025-07-16,1485.0,1485.0,1468.199951171875,1475.800048828125,1569604
2025-07-17,1475.0,1489.0,1472.0,1482.4000244140625,1349535
2025-07-18,1481.0999755859375,1484.800048828125,1470.0,1482.300048828125,1001794
2025-07-21,1481.0999755859375,1482.5,1468.5,1473.9000244140625,1198993
2025-07-22,1475.0,1479.4000244140625,1454.5,1464.4000244140625,1908949
2025-07-23,1465.300048828125,1476.5,1462.4000244140625,1473.5,1268156
2025-07-24,1470.5,1490.0,1470.300048828125,1487.9000244140625,1389152
2025-07-25,1485.0,1553.699951171875,1469.0,1532.5,5226395
2025-07-28,1541.199951171875,1577.0,1520.5,1572.0,3843168
2025-07-29,1563.4000244140625,1579.4000244140625,1559.5999755859375,1574.0,1303888
2025-07-30,1574.300048828125,1579.9000244140625,1551.199951171875,1559.4000244140625,1390012
2025-07-31,1540.0,1564.699951171875,1536.5999755859375,1554.5999755859375,2457841
2025-08-01,1544.0,1549.699951171875,1494.0,1502.800048828125,2109707
2025-08-04,1510.0,1519.300048828125,1505.0,1515.0999755859375,549494
2025-08-05,1513.5,1517.300048828125,1491.0999755859375,1499.800048828125,1156528
2025-08-06,1498.800048828125,1498.800048828125,1475.0,1486.699951171875,1157300
2025-08-07,1476.0999755859375,1499.800048828125,1464.0999755859375,1491.0,1882304
2025-08-08,1483.0,1493.800048828125,1478.300048828125,1485.800048828125,920270
2025-08-11,1488.0,1514.0,1480.199951171875,1504.800048828125,898160
2025-08-12,1504.0,1524.9000244140625,1501.0999755859375,1521.5999755859375,910349
2025-08-13,1521.5999755859375,1567.800048828125,1520.4000244140625,1561.0,1859765
2025-08-14,1562.5,1574.800048828125,1552.0,1564.0,2535958
2025-08-18,1566.199951171875,1572.800048828125,1557.5,1565.199951171875,1783835
2025-08-19,1565.199951171875,1568.699951171875,1546.0999755859375,1548.9000244140625,898746
2025-08-20,1539.199951171875,1556.9000244140625,1533.4000244140625,1546.0999755859375,936556
2025-08-21,1540.0999755859375,1596.0,1538.699951171875,1592.800048828125,1698280
2025-08-22,1590.0,1602.0,1585.0,1592.800048828125,1574526
2025-08-25,1594.0,1607.800048828125,1592.0,1601.199951171875,1298471
2025-08-26,1604.0,1604.0999755859375,1573.0,1579.800048828125,2332380
2025-08-28,1594.0,1594.0,1568.699951171875,1580.300048828125,1903230
2025-08-29,1578.5,1596.4000244140625,1567.800048828125,1589.4000244140625,1342344
